group,experiment,model,model_key,n_pages,precision@50,recall@50,f1@50,mAP@50,mAP@50-95,mean_iou,tp,fp,fn,n_gt,n_pred_kept,n_pred_total,best_f1,best_f1_threshold
Kadi Registry Book,base,SAM (base),sam_base,93,0.16129032258064516,0.2937158469945355,0.2082324455205811,0.07568201964184015,0.03513154007416382,0.7702905304263886,215,1118,517,732,1333,1333,0.232420429311621,0.9264125823974609
Kadi Registry Book,base,YOLO8n-seg,yolov8n_seg,93,0.0,0.0,0.0,0.023473282360149342,0.006854022375727674,,0,7,732,732,7,1378,0.1358267716535433,0.0010894539300352335
Kadi Registry Book,base,Yolov10n-det,yolov10n_det,93,0.08108108108108109,0.004098360655737705,0.0078023407022106625,0.014615523461883268,0.007046727632637149,0.7315869113460108,3,34,729,732,37,853,0.05680868838763577,0.0024048974737524986
Kadi Registry Book,base,YOLO11x-seg,yolo11x_seg,93,0.18181818181818182,0.01092896174863388,0.020618556701030927,0.027369759782353342,0.006596854706799044,0.595676159104501,8,36,724,732,44,1002,0.13145539906103287,0.0010678316466510296
Kadi Registry Book,base,Detectron2,detectron2,93,0.0,0.0,0.0,0.003214227214734508,0.0008239307559587835,,0,39,732,732,39,5679,0.037516170763260026,0.016387084499001503
Kadi Registry Book,base,PaddleDetection,paddledetection,93,0.10714285714285714,0.02459016393442623,0.04000000000000001,0.019355505763295595,0.005049076236518987,0.6417888180376733,18,150,714,732,168,37240,0.07169811320754718,0.30503880977630615
Kadi Registry Book,trained,YOLO8n-seg,yolov8n_seg_trained,93,0.9706293706293706,0.9480874316939891,0.95922598479613,0.9799227279120359,0.8426456277370873,0.914545807702602,694,21,38,732,715,2660,0.9607708189951825,0.4628588855266571
Kadi Registry Book,trained,Yolov10n-det,yolov10n_det_trained,93,0.9537414965986395,0.9576502732240437,0.9556918882072257,0.9772723645544085,0.8311005107740521,0.908007138390694,701,34,31,732,735,5505,0.9574759945130316,0.5355039834976196
Kadi Registry Book,trained,YOLO11x-seg,yolo11x_seg_trained,93,0.9664804469273743,0.9453551912568307,0.9558011049723757,0.9760958577999174,0.8353243293050668,0.9157895727818635,692,24,40,732,716,3020,0.9596167008898014,0.42180800437927246
Kadi Registry Book,trained,Detectron2,detectron2_trained,93,0.9213630406290957,0.9603825136612022,0.9404682274247492,0.9721816181909221,0.8025754869425781,0.9027437814078216,703,60,29,732,763,2883,0.94421768707483,0.7321144342422485
Kadi Registry Book,trained,PaddleDetection,paddledetection_trained,93,0.9130434782608695,0.6311475409836066,0.7463651050080775,0.8277990304847175,0.5626874237079105,0.858549896760328,462,44,270,732,506,37200,0.7988668555240794,0.37401100993156433
Newspaper,base,DeepLabV3,deeplabv3,368,0.07072135785007072,0.011590171534538712,0.01991635132443736,0.0036458984589618553,0.0011449935182883265,0.6714455955758304,50,657,4264,4314,707,866,0.021093413689195005,0.5790346264839172
Newspaper,base,SAM (large),sam_large,368,0.18413214189006227,0.31525266573945293,0.23247863247863246,0.09005212554272515,0.045768649699872814,0.7799579760770712,1360,6026,2954,4314,7386,7386,0.2531591347183551,0.9284369945526123
Newspaper,base,SAM (base),sam_base,368,0.07449120727129026,0.08738989337042188,0.08042666666666667,0.020215899367061318,0.011270525768339095,0.7623785437814538,377,4684,3937,4314,5061,5061,0.08565656565656565,0.9045636653900146
Newspaper,base,YOLO8n-seg,yolov8n_seg,368,0.04878048780487805,0.0004636068613815484,0.0009184845005740528,0.010183755121596368,0.004094268909583844,0.9465177166798339,2,39,4312,4314,41,9243,0.07620367163145134,0.0013699124101549387
Newspaper,base,Yolov10n-det,yolov10n_det,368,0.025806451612903226,0.0009272137227630969,0.0017901096442157081,0.0033386998444348806,0.0017501119818387264,0.8945845149588196,4,151,4310,4314,155,30158,0.03969465648854962,0.013756460510194302
Newspaper,base,YOLO11x-seg,yolo11x_seg,368,0.02830188679245283,0.0013908205841446453,0.0026513477684489612,0.012497993294610427,0.007257115531498413,0.8827123562195928,6,206,4308,4314,212,7440,0.0702122696524376,0.002470899373292923
Newspaper,base,Detectron2,detectron2,368,0.009852216748768473,0.0004636068613815484,0.0008855435023245517,0.0006205786768904047,0.00025837952408033196,0.8513463845782433,2,201,4312,4314,203,24127,0.013954535223947784,0.01269539538770914
Newspaper,base,PaddleDetection,paddledetection,368,0.10384615384615385,0.012517385257301807,0.022341745966073644,0.01638074979557011,0.005147014292000094,0.6720444779056877,54,466,4260,4314,520,147381,0.06702355460385438,0.13549859821796417
Newspaper,trained,YOLO8n-seg,yolov8n_seg_trained,368,0.9202544031311155,0.8720445062586927,0.8955010711735302,0.9368496305562035,0.7164315423636105,0.875345387524411,3762,326,552,4314,4088,21166,0.9001703577512776,0.3542575240135193
Newspaper,trained,Yolov10n-det,yolov10n_det_trained,368,0.9145898862811517,0.8762169680111266,0.894992304960341,0.9316371599604089,0.7047574850428752,0.8744481521265034,3780,353,534,4314,4133,23277,0.9008387912214179,0.40143856406211853
Newspaper,trained,YOLO11x-seg,yolo11x_seg_trained,368,0.9217795160107554,0.8741307371349096,0.8973230220107079,0.9340511100564948,0.7182328137141453,0.879175686236553,3771,320,543,4314,4091,22688,0.9036691904484566,0.4240744411945343
Newspaper,trained,Detectron2,detectron2_trained,368,0.8766078046653586,0.9320815948076031,0.9034939894393889,0.9423211358853979,0.6801735145859458,0.8568769531598472,4021,566,293,4314,4587,19089,0.9098503306648102,0.7402194142341614
Newspaper,trained,PaddleDetection,paddledetection_trained,368,0.757652142599928,0.48771441817338895,0.5934282893809053,0.5801701322341716,0.3376821678741812,0.8090595456239064,2104,673,2210,4314,2777,147200,0.6151097498723839,0.41717398166656494
Population Registry Book,base,DeepLabV3,deeplabv3,48,0.03488372093023256,0.0003888528839922229,0.0007691321625432636,0.0009900990099009901,0.0002970297029702971,0.5517669468283216,3,83,7712,7715,86,109,0.0007717041800643086,0.5193803310394287
Population Registry Book,base,SAM (large),sam_large,48,0.1697513553935315,0.11769280622164614,0.13900796080832822,0.021170794255417673,0.004310180959790389,0.6150779306724744,908,4441,6807,7715,5349,5349,0.13908762212477882,0.8838415145874023
Population Registry Book,base,SAM (base),sam_base,48,0.12996127783155856,0.06960466623460791,0.09065586224360599,0.009882857644645167,0.0017844248654968274,0.5968837249970278,537,3595,7178,7715,4132,4132,0.09080148799458912,0.8804283142089844
Population Registry Book,base,YOLO8n-seg,yolov8n_seg,48,0.0,0.0,0.0,0.0007182065356794746,0.00015722773988967757,,0,1,7715,7715,1,2702,0.018225884634028116,0.0010484308004379272
Population Registry Book,base,Yolov10n-det,yolov10n_det,48,0.0,0.0,0.0,0.0022475869050269767,0.0004622885018088546,,0,4,7715,7715,4,6708,0.029287251023665768,0.0010058307088911533
Population Registry Book,base,YOLO11x-seg,yolo11x_seg,48,0.0,0.0,0.0,0.0004500450045004501,0.00027513328026267564,,0,0,7715,7715,0,1514,0.00910964103676391,0.0010115071199834347
Population Registry Book,base,Detectron2,detectron2,48,0.0,0.0,0.0,0.00017747057724640388,6.941522479411966e-05,,0,5,7715,7715,5,2480,0.008435507601765571,0.0010002393973991275
Population Registry Book,base,PaddleDetection,paddledetection,48,0.038461538461538464,0.0003888528839922229,0.0007699217246246631,0.0018076143461483048,0.00032236702745942075,0.5862086842221566,3,75,7712,7715,78,19210,0.03150621833256564,0.030452782288193703
Population Registry Book,trained,YOLO8n-seg,yolov8n_seg_trained,48,0.9647418839808408,0.9398574206092029,0.9521370888319874,0.9615581675149503,0.49558411963824794,0.7648005887964812,7251,265,464,7715,7516,16735,0.9546106691013434,0.44828248023986816
Population Registry Book,trained,Yolov10n-det,yolov10n_det_trained,48,0.967062274969996,0.9399870382372003,0.9533324569475483,0.9586775560848693,0.49129997345256027,0.7641086392693613,7252,247,463,7715,7499,17298,0.956403446265466,0.3947182595729828
Population Registry Book,trained,YOLO11x-seg,yolo11x_seg_trained,48,0.9644899587711132,0.9399870382372003,0.9520808717342786,0.9604749282320888,0.4947216849800123,0.7654772223184788,7252,267,463,7715,7519,18465,0.9546072654277018,0.41394856572151184
Population Registry Book,trained,Detectron2,detectron2_trained,48,0.9547801814375436,0.8867141931302657,0.919489247311828,0.8942347845091609,0.391180105878026,0.7361136082464512,6841,324,874,7715,7165,10464,0.9232598071588958,0.20155225694179535
Population Registry Book,trained,PaddleDetection,paddledetection_trained,48,0.5949705724986624,0.14413480233311732,0.2320534223706177,0.1622162800201585,0.05977578129474973,0.7049665489260618,1112,757,6603,7715,1869,19200,0.25932819285650976,0.38230031728744507
